Part_Serial,Shaft_Diameter_mm,Target_Nominal,Fit_Class,Machine
SN-0001,29.9892,30.0,30_g6,CNC_LATHE_02
SN-0002,29.9877,30.0,30_g6,CNC_LATHE_02
SN-0003,29.9896,30.0,30_g6,CNC_LATHE_02
SN-0004,29.9917,30.0,30_g6,CNC_LATHE_02
SN-0005,29.9874,30.0,30_g6,CNC_LATHE_02
SN-0006,29.9874,30.0,30_g6,CNC_LATHE_02
SN-0007,29.9918,30.0,30_g6,CNC_LATHE_02
SN-0008,29.9898,30.0,30_g6,CNC_LATHE_02
SN-0009,29.9869,30.0,30_g6,CNC_LATHE_02
SN-0010,29.9893,30.0,30_g6,CNC_LATHE_02
SN-0011,29.9869,30.0,30_g6,CNC_LATHE_02
SN-0012,29.9869,30.0,30_g6,CNC_LATHE_02
SN-0013,29.9886,30.0,30_g6,CNC_LATHE_02
SN-0014,29.9834,30.0,30_g6,CNC_LATHE_02
SN-0015,29.9839,30.0,30_g6,CNC_LATHE_02
SN-0016,29.9867,30.0,30_g6,CNC_LATHE_02
SN-0017,29.9856,30.0,30_g6,CNC_LATHE_02
SN-0018,29.9888,30.0,30_g6,CNC_LATHE_02
SN-0019,29.9858,30.0,30_g6,CNC_LATHE_02
SN-0020,29.9846,30.0,30_g6,CNC_LATHE_02
SN-0021,29.9915,30.0,30_g6,CNC_LATHE_02
SN-0022,29.9875,30.0,30_g6,CNC_LATHE_02
SN-0023,29.9882,30.0,30_g6,CNC_LATHE_02
SN-0024,29.9846,30.0,30_g6,CNC_LATHE_02
SN-0025,29.9867,30.0,30_g6,CNC_LATHE_02
SN-0026,29.9883,30.0,30_g6,CNC_LATHE_02
SN-0027,29.9852,30.0,30_g6,CNC_LATHE_02
SN-0028,29.9889,30.0,30_g6,CNC_LATHE_02
SN-0029,29.9866,30.0,30_g6,CNC_LATHE_02
SN-0030,29.9873,30.0,30_g6,CNC_LATHE_02
SN-0031,29.9866,30.0,30_g6,CNC_LATHE_02
SN-0032,29.9924,30.0,30_g6,CNC_LATHE_02
SN-0033,29.988,30.0,30_g6,CNC_LATHE_02
SN-0034,29.9855,30.0,30_g6,CNC_LATHE_02
SN-0035,29.99,30.0,30_g6,CNC_LATHE_02
SN-0036,29.9851,30.0,30_g6,CNC_LATHE_02
SN-0037,29.9885,30.0,30_g6,CNC_LATHE_02
SN-0038,29.9833,30.0,30_g6,CNC_LATHE_02
SN-0039,29.9848,30.0,30_g6,CNC_LATHE_02
SN-0040,29.9885,30.0,30_g6,CNC_LATHE_02
SN-0041,29.9898,30.0,30_g6,CNC_LATHE_02
SN-0042,29.9884,30.0,30_g6,CNC_LATHE_02
SN-0043,29.9877,30.0,30_g6,CNC_LATHE_02
SN-0044,29.9873,30.0,30_g6,CNC_LATHE_02
SN-0045,29.9845,30.0,30_g6,CNC_LATHE_02
SN-0046,29.9863,30.0,30_g6,CNC_LATHE_02
SN-0047,29.9869,30.0,30_g6,CNC_LATHE_02
SN-0048,29.9905,30.0,30_g6,CNC_LATHE_02
SN-0049,29.9888,30.0,30_g6,CNC_LATHE_02
SN-0050,29.9838,30.0,30_g6,CNC_LATHE_02
SN-0051,29.9888,30.0,30_g6,CNC_LATHE_02
SN-0052,29.9871,30.0,30_g6,CNC_LATHE_02
SN-0053,29.9864,30.0,30_g6,CNC_LATHE_02
SN-0054,29.9895,30.0,30_g6,CNC_LATHE_02
SN-0055,29.9905,30.0,30_g6,CNC_LATHE_02
SN-0056,29.9902,30.0,30_g6,CNC_LATHE_02
SN-0057,29.986,30.0,30_g6,CNC_LATHE_02
SN-0058,29.9873,30.0,30_g6,CNC_LATHE_02
SN-0059,29.9888,30.0,30_g6,CNC_LATHE_02
SN-0060,29.9903,30.0,30_g6,CNC_LATHE_02
SN-0061,29.9868,30.0,30_g6,CNC_LATHE_02
SN-0062,29.9876,30.0,30_g6,CNC_LATHE_02
SN-0063,29.9853,30.0,30_g6,CNC_LATHE_02
SN-0064,29.9851,30.0,30_g6,CNC_LATHE_02
SN-0065,29.99,30.0,30_g6,CNC_LATHE_02
SN-0066,29.9913,30.0,30_g6,CNC_LATHE_02
SN-0067,29.9878,30.0,30_g6,CNC_LATHE_02
SN-0068,29.9904,30.0,30_g6,CNC_LATHE_02
SN-0069,29.9889,30.0,30_g6,CNC_LATHE_02
SN-0070,29.9865,30.0,30_g6,CNC_LATHE_02
SN-0071,29.9889,30.0,30_g6,CNC_LATHE_02
SN-0072,29.9917,30.0,30_g6,CNC_LATHE_02
